"Metrics","Variables","Interaction","Intercept_grouping","Wifull","Floor_Sig","Wi_Floor","Median_Sig","Wi_Median","Ceiling_Sig","Wi_Ceiling","Formula"
"OCH_prop","log10(DEPTH)","","no_sub",0.683376102907241,"NO",0.186883736438973,"NO",0.984949843767694,"NO",0.650214695714545,"VAR ~ 1 + log10(DEPTH) + +GROUP"
"OCH_abu","exp(VEL) log10(DEPTH)","","no_sub",0.763486517461858,"NO",0.048810468761706,"YES",0.999999990974047,"YES",1,"VAR ~ 1 + exp(VEL) + log10(DEPTH) + +GROUP"
"EPT_EPTOCH","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"ABUNDANCE","VEL DEPTH","(VEL):GROUP","no_sub",0.999999999999784,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + VEL + DEPTH + (VEL):GROUP + GROUP"
"SHANNON","exp(DEPTH)","","no_sub",0.799096855585713,"NO",0.376619055347391,"NO",0.933672817897676,"YES",0.999829796163083,"VAR ~ 1 + exp(DEPTH) + +GROUP"
"ASPT","poly(DEPTH,2)","","no_sub",0.998548343768821,"NO",0.998621574575963,"YES",0.999999870763796,"YES",0.999996878695421,"VAR ~ 1 + poly(DEPTH, 2) + +GROUP"
"LIFE","poly(VEL,2) DEPTH","(DEPTH):GROUP","no",1,"YES",1,"YES",1,"YES",1,"VAR ~ poly(VEL, 2) + DEPTH + (DEPTH):GROUP + 1"
"FUN_RICHNESS_ALL","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"FUN_DIVERSITY_ALL","VEL","","full",0.825215364485246,"NO",0.645636257121489,"NO",0.973392012347541,"YES",0.999999998100528,"VAR ~ 1 + VEL + +GROUP + SUB"
"FUN_RICHNESS_ECO","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"FUN_DIVERSITY_ECO","VEL","","full",0.820421865006164,"NO",0.528613443098214,"NO",0.975357036674906,"YES",0.999999989538851,"VAR ~ 1 + VEL + +GROUP + SUB"
"FUN_RICHNESS_BIO","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"FUN_DIVERSITY_BIO","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
"logit_EPT_prop","poly(VEL,2) exp(DEPTH)","","full",0.999997316116051,"YES",0.999993369619841,"YES",0.999999999996783,"YES",0.99999975321379,"VAR ~ 1 + poly(VEL, 2) + exp(DEPTH) + +GROUP + SUB"
"logit_OCH_prop","log10(DEPTH)","","full",0.677004013672521,"NO",0.178222070400949,"NO",0.998618208091558,"NO",0.497749968072998,"VAR ~ 1 + log10(DEPTH) + +GROUP + SUB"
"logit_EPT_EPTOCH","","","no_sub",0.5,"NO",0.5,"NO",0.5,"NO",0.5,"VAR ~ 1 + ++GROUP"
